,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
142,2020年7月29日,325.12,322.12,325.73,322.08,48.45,1.23,1595952000.0,325.12,326.89,331.5083333333334,334.676,338.44653846153847,338.2735,2020-07-29
143,2020年7月30日,323.96,321.8,324.4,319.69,61.86,-0.36,1596038400.0,323.96,328.288,332.485,335.79849999999993,339.2261538461538,338.5983333333333,2020-07-30
144,2020年7月31日,326.52,325.9,326.63,321.33,85.21,0.79,1596124800.0,326.52,330.36199999999997,333.6475,337.01699999999994,339.94192307692305,338.96200000000005,2020-07-31
145,2020年8月3日,328.79,328.36,329.61,327.74,53.08,0.7,1596384000.0,328.79,331.972,334.65749999999997,338.21999999999997,340.1992307692307,339.1764999999999,2020-08-03
146,2020年8月4日,330.06,328.06,330.06,327.96,41.92,0.39,1596470400.0,330.06,333.328,335.36083333333335,339.246,340.6223076923077,339.3336666666666,2020-08-04
147,2020年8月5日,332.11,331.47,332.39,331.19,42.87,0.62,1596556800.0,332.11,333.876,336.0458333333333,340.373,340.7696153846154,339.277,2020-08-05
148,2020年8月6日,334.33,331.47,334.46,331.15,43.68,0.67,1596643200.0,334.33,334.942,336.65999999999997,341.65250000000003,340.84461538461534,339.2415,2020-08-06
149,2020年8月7日,334.57,333.28,334.68,332.3,57.31,0.07,1596729600.0,334.57,335.442,337.37583333333333,342.2055000000001,341.00346153846147,339.11166666666674,2020-08-07
150,2020年8月10日,335.57,335.05,335.76,332.98,44.28,0.3,1596988800.0,335.57,335.89599999999996,338.1716666666667,342.6055,341.21884615384613,339.0388333333333,2020-08-10
151,2020年8月11日,332.8,336.95,337.52,332.05,69.6,-0.83,1597075200.0,332.8,336.364,339.1716666666667,342.4875,341.3438461538462,339.04650000000004,2020-08-11
152,2020年8月12日,337.44,335.56,338.28,335.56,53.83,1.39,1597161600.0,337.44,337.532,340.46583333333336,342.837,341.4607692307692,339.22550000000007,2020-08-12
153,2020年8月13日,336.83,337.02,338.25,335.85,41.82,-0.18,1597248000.0,336.83,337.48999999999995,341.5608333333334,342.6595,341.1996153846154,339.4388333333334,2020-08-13
154,2020年8月14日,336.84,336.41,337.42,335.62,47.26,0.0,1597334400.0,336.84,337.78,342.60083333333336,342.521,340.82038461538457,339.661,2020-08-14
155,2020年8月17日,337.91,337.92,338.34,337.5,35.48,0.32,1597593600.0,337.91,338.308,343.9141666666667,342.60200000000003,340.5688461538461,339.95633333333336,2020-08-17
156,2020年8月18日,338.64,338.36,339.09,336.64,38.73,0.22,1597680000.0,338.64,339.31000000000006,345.56333333333333,342.71500000000003,339.98153846153843,340.2251666666668,2020-08-18
157,2020年8月19日,337.23,339.07,339.6,336.64,68.05,-0.42,1597766400.0,337.23,340.40600000000006,346.12583333333333,342.72400000000005,339.3992307692307,340.52566666666667,2020-08-19
158,2020年8月20日,338.28,335.38,338.77,335.25,42.21,0.31,1597852800.0,338.28,342.47400000000005,346.57083333333327,342.6545,339.07230769230773,340.79200000000003,2020-08-20
159,2020年8月21日,339.48,337.99,339.67,337.57,55.11,0.35,1597939200.0,339.48,344.484,346.1483333333333,342.27299999999997,338.915,341.1223333333333,2020-08-21
